epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,663.95,0.79278,0.51306,2.4048,1,0.99867,0.995,0.88641,0.48918,0.3873,2.11564,0.0011684,0.0011684,0.0011684
44,678.856,0.80171,0.49353,2.39693,0.99433,0.92308,0.99,0.8775,0.52946,0.41492,2.0186,0.0011486,0.0011486,0.0011486
45,693.703,0.8361,0.52723,2.30546,0.99444,0.92308,0.9705,0.85576,0.53722,0.44524,2.02749,0.0011288,0.0011288,0.0011288
46,709.979,0.92993,0.56413,2.35374,0.99465,0.92308,0.9268,0.83418,0.50611,0.51581,1.94727,0.001109,0.001109,0.001109
47,724.391,0.84274,0.51111,2.26416,0.99456,0.92308,0.92681,0.83457,0.48701,0.52339,1.93759,0.0010892,0.0010892,0.0010892
48,738.228,0.80062,0.5072,2.28322,0.99153,0.92308,0.92682,0.86641,0.43886,0.47776,1.91289,0.0010694,0.0010694,0.0010694
49,752.161,0.80144,0.54991,2.33018,0.99291,0.92308,0.935,0.8817,0.42697,0.44921,1.90779,0.0010496,0.0010496,0.0010496
50,765.812,0.79601,0.50401,2.24378,0.99247,0.92308,0.96,0.89255,0.48325,0.46356,1.8749,0.0010298,0.0010298,0.0010298
51,779.247,0.84562,0.49097,2.21019,0.99127,0.92308,0.96636,0.8748,0.50891,0.43715,1.89911,0.00101,0.00101,0.00101
52,792.662,0.82313,0.51981,2.28034,0.99013,0.92308,0.98188,0.90248,0.43173,0.40714,1.87999,0.0009902,0.0009902,0.0009902
53,806.174,0.7357,0.4783,2.23956,0.98956,0.92308,0.98567,0.90252,0.41953,0.4,1.94104,0.0009704,0.0009704,0.0009704
54,819.577,0.86204,0.56815,2.39136,0.98497,0.92308,0.99,0.91274,0.47488,0.43332,2.01807,0.0009506,0.0009506,0.0009506
55,833.217,0.78058,0.50003,2.28334,0.99129,1,0.995,0.89566,0.49395,0.40346,1.98188,0.0009308,0.0009308,0.0009308
56,846.549,0.74364,0.46495,2.19729,0.98977,1,0.995,0.90791,0.47733,0.3828,1.97524,0.000911,0.000911,0.000911
57,859.708,0.73039,0.43982,2.21571,0.99222,1,0.995,0.91521,0.46938,0.36189,2.01523,0.0008912,0.0008912,0.0008912
58,873.011,0.7803,0.47022,2.33556,0.99152,1,0.995,0.93258,0.4742,0.35443,2.05639,0.0008714,0.0008714,0.0008714
59,886.145,0.72891,0.44278,2.3493,0.99368,1,0.995,0.92548,0.4299,0.36554,2.01468,0.0008516,0.0008516,0.0008516
60,899.398,0.79037,0.5014,2.27997,0.99801,1,0.995,0.91256,0.45114,0.36385,1.96585,0.0008318,0.0008318,0.0008318
61,912.487,0.80724,0.49306,2.12025,1,0.99838,0.995,0.87762,0.47914,0.37255,1.98209,0.000812,0.000812,0.000812
62,925.692,0.80869,0.47355,2.21891,1,0.99295,0.995,0.8896,0.51062,0.3958,1.99315,0.0007922,0.0007922,0.0007922
63,938.667,0.85799,0.51307,2.33184,0.99239,0.92308,0.99,0.88344,0.53267,0.37998,2.05385,0.0007724,0.0007724,0.0007724
64,952.087,0.83514,0.52679,2.35169,0.99286,0.92308,0.98567,0.89293,0.47474,0.34953,2.04527,0.0007526,0.0007526,0.0007526
65,965.468,0.7143,0.45338,2.18007,0.99362,0.92308,0.98567,0.90814,0.4275,0.34235,1.99898,0.0007328,0.0007328,0.0007328
66,979.032,0.70309,0.44375,2.22072,0.99527,0.92308,0.99,0.91001,0.42991,0.35407,1.98215,0.000713,0.000713,0.000713
67,992.574,0.7159,0.43826,2.30837,1,0.99505,0.995,0.90311,0.44879,0.36075,1.97219,0.0006932,0.0006932,0.0006932
68,1006.06,0.75889,0.44351,2.24709,1,0.99511,0.995,0.93736,0.43674,0.34097,1.89258,0.0006734,0.0006734,0.0006734
69,1019.68,0.64798,0.41893,2.08762,1,0.99521,0.995,0.91443,0.42413,0.33192,1.83976,0.0006536,0.0006536,0.0006536
70,1033.35,0.771,0.47191,2.22756,0.99558,0.92308,0.98567,0.90339,0.43174,0.36072,1.78236,0.0006338,0.0006338,0.0006338
71,1046.99,0.71613,0.47769,2.231,0.99546,0.92308,0.99,0.90729,0.44203,0.3862,1.76175,0.000614,0.000614,0.000614
72,1060.56,0.73495,0.46969,2.19164,0.9955,0.92308,0.97853,0.88858,0.48366,0.40285,1.75892,0.0005942,0.0005942,0.0005942
73,1074.12,0.73567,0.44964,2.2357,0.99544,0.92308,0.97853,0.88312,0.47984,0.40024,1.75599,0.0005744,0.0005744,0.0005744
74,1087.69,0.66358,0.42238,2.10378,0.9952,0.92308,0.97853,0.89619,0.4655,0.38453,1.76348,0.0005546,0.0005546,0.0005546
75,1101.29,0.69628,0.46142,2.16664,0.99496,0.92308,0.99,0.90494,0.44662,0.34762,1.75856,0.0005348,0.0005348,0.0005348
76,1114.85,0.74343,0.46481,2.24756,0.99446,0.92308,0.99,0.90534,0.40621,0.3195,1.7521,0.000515,0.000515,0.000515
77,1128.52,0.59386,0.39466,2.04221,0.99429,0.92308,0.99,0.912,0.40823,0.31331,1.7661,0.0004952,0.0004952,0.0004952
78,1142.29,0.66889,0.40148,2.10729,1,0.99557,0.995,0.89432,0.40926,0.28898,1.78443,0.0004754,0.0004754,0.0004754
79,1155.86,0.73467,0.45862,2.24906,1,0.99644,0.995,0.89298,0.40383,0.28414,1.78381,0.0004556,0.0004556,0.0004556
80,1169.6,0.70368,0.44313,2.18171,1,0.99911,0.995,0.91045,0.37779,0.28912,1.80202,0.0004358,0.0004358,0.0004358
81,1183.34,0.66424,0.442,2.06146,1,0.99965,0.995,0.91301,0.37861,0.29642,1.84247,0.000416,0.000416,0.000416
82,1197.19,0.65241,0.44275,2.23335,1,0.99884,0.995,0.92456,0.40407,0.30657,1.91852,0.0003962,0.0003962,0.0003962
83,1210.99,0.64791,0.42142,2.17918,1,0.99965,0.995,0.92834,0.41446,0.31486,1.95256,0.0003764,0.0003764,0.0003764
84,1224.51,0.68441,0.4288,2.12211,1,0.99922,0.995,0.92777,0.38287,0.31709,1.82287,0.0003566,0.0003566,0.0003566
85,1238.3,0.64325,0.4204,2.06241,1,0.99796,0.995,0.9348,0.38767,0.31807,1.77741,0.0003368,0.0003368,0.0003368
86,1252.42,0.67441,0.43652,2.054,1,0.99761,0.995,0.91466,0.38627,0.3133,1.73402,0.000317,0.000317,0.000317
87,1266.55,0.65451,0.41047,2.11688,1,0.99783,0.995,0.92228,0.38554,0.31202,1.7396,0.0002972,0.0002972,0.0002972
88,1280.7,0.65865,0.44338,2.17404,1,0.99769,0.995,0.91788,0.41126,0.31137,1.7526,0.0002774,0.0002774,0.0002774
89,1294.43,0.66103,0.41113,2.11319,1,0.99813,0.995,0.91659,0.42718,0.30266,1.80159,0.0002576,0.0002576,0.0002576
90,1308.26,0.63385,0.41636,2.13781,1,0.99835,0.995,0.92102,0.46206,0.29356,1.90862,0.0002378,0.0002378,0.0002378
91,1322.2,0.43994,0.41427,2.04366,1,0.99849,0.995,0.91391,0.45816,0.29337,1.91389,0.000218,0.000218,0.000218
92,1335.77,0.466,0.42023,2.08548,1,0.99983,0.995,0.92134,0.42969,0.29027,1.86882,0.0001982,0.0001982,0.0001982
93,1349.41,0.41606,0.34598,1.94529,1,0.99772,0.995,0.92683,0.42022,0.30028,1.86124,0.0001784,0.0001784,0.0001784
94,1363.26,0.42079,0.33101,2.03838,1,0.99794,0.995,0.94198,0.39213,0.29224,1.87742,0.0001586,0.0001586,0.0001586
95,1376.75,0.41514,0.33801,1.94133,1,0.99841,0.995,0.94195,0.37588,0.2913,1.85946,0.0001388,0.0001388,0.0001388
96,1390.43,0.38814,0.31105,2.07698,1,0.99879,0.995,0.94985,0.35898,0.29143,1.79423,0.000119,0.000119,0.000119
97,1404.16,0.39326,0.3079,1.9602,1,0.99858,0.995,0.94983,0.35468,0.29426,1.73734,9.92e-05,9.92e-05,9.92e-05
98,1417.65,0.38019,0.31163,1.8213,1,0.99822,0.995,0.9498,0.35775,0.30399,1.69924,7.94e-05,7.94e-05,7.94e-05
99,1431.06,0.39444,0.31222,2.07197,1,0.99857,0.995,0.94979,0.36002,0.3042,1.69925,5.96e-05,5.96e-05,5.96e-05
100,1444.6,0.37909,0.31251,1.97203,1,0.99912,0.995,0.94975,0.36308,0.3013,1.69083,3.98e-05,3.98e-05,3.98e-05
