epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,1440.76,0.58867,0.36154,2.03856,0.91834,1,0.98441,0.93823,0.39125,0.29602,1.7348,0.0005348,0.0005348,0.0005348
187,1448.11,0.58152,0.36313,1.92002,0.91873,1,0.97876,0.93835,0.35001,0.26926,1.71579,0.00052688,0.00052688,0.00052688
188,1455.69,0.55391,0.35654,1.88324,0.91962,1,0.98223,0.94149,0.37029,0.30583,1.71999,0.00051896,0.00051896,0.00051896
189,1463.09,0.55917,0.36287,1.88538,0.88211,1,0.97479,0.93794,0.35879,0.30469,1.70275,0.00051104,0.00051104,0.00051104
190,1470.65,0.57417,0.38175,1.99322,0.91771,1,0.9827,0.94446,0.36581,0.30158,1.70221,0.00050312,0.00050312,0.00050312
191,1478.15,0.58665,0.37365,2.04137,0.91772,1,0.98789,0.95655,0.35592,0.29135,1.749,0.0004952,0.0004952,0.0004952
192,1485.86,0.57551,0.37642,1.91612,0.95615,1,0.98792,0.95968,0.35981,0.28679,1.76742,0.00048728,0.00048728,0.00048728
193,1493.09,0.56967,0.35749,1.97271,0.95369,1,0.98417,0.95503,0.36522,0.28399,1.81469,0.00047936,0.00047936,0.00047936
194,1500.57,0.56125,0.36222,1.9401,0.91761,1,0.9805,0.95543,0.34937,0.2989,1.73732,0.00047144,0.00047144,0.00047144
195,1508.12,0.55836,0.35061,1.92768,0.91825,1,0.9765,0.95172,0.3648,0.32085,1.68253,0.00046352,0.00046352,0.00046352
196,1515.6,0.55068,0.34674,1.8734,0.91886,0.98517,0.97136,0.93382,0.36848,0.32111,1.67428,0.0004556,0.0004556,0.0004556
197,1522.85,0.54865,0.36843,1.96632,0.91874,0.98361,0.9769,0.94543,0.3598,0.31635,1.68339,0.00044768,0.00044768,0.00044768
198,1530.65,0.5581,0.35077,1.94404,0.95814,0.99542,0.98792,0.95692,0.37627,0.30231,1.81551,0.00043976,0.00043976,0.00043976
199,1538.27,0.50067,0.33343,1.94431,0.95441,1,0.98792,0.95165,0.37176,0.28437,1.81595,0.00043184,0.00043184,0.00043184
200,1545.83,0.55627,0.36389,1.91657,0.95241,1,0.98625,0.94673,0.36659,0.28479,1.66436,0.00042392,0.00042392,0.00042392
201,1553.38,0.51478,0.35734,1.85823,0.93671,1,0.98625,0.9553,0.34458,0.29129,1.67548,0.000416,0.000416,0.000416
202,1561.63,0.57736,0.3656,2.00533,0.91789,1,0.97346,0.94359,0.36511,0.30994,1.71035,0.00040808,0.00040808,0.00040808
203,1569.09,0.55908,0.336,1.89196,0.91789,1,0.9684,0.93831,0.36974,0.31046,1.71115,0.00040016,0.00040016,0.00040016
204,1576.95,0.56571,0.3543,1.93637,0.91784,1,0.97678,0.9432,0.35176,0.30372,1.70225,0.00039224,0.00039224,0.00039224
205,1584.82,0.54224,0.35423,1.75098,0.91818,1,0.98083,0.95089,0.34917,0.29562,1.72368,0.00038432,0.00038432,0.00038432
206,1592.84,0.5524,0.34566,1.95204,0.92033,1,0.98083,0.95077,0.36958,0.3001,1.7498,0.0003764,0.0003764,0.0003764
207,1601.77,0.52055,0.33378,1.88524,0.91782,1,0.97876,0.94528,0.35413,0.31231,1.70315,0.00036848,0.00036848,0.00036848
208,1611.91,0.51105,0.33727,1.89637,0.91784,1,0.97876,0.95141,0.33267,0.30224,1.68773,0.00036056,0.00036056,0.00036056
209,1622.11,0.53035,0.35463,1.95192,0.91775,1,0.97658,0.94761,0.34156,0.30429,1.66685,0.00035264,0.00035264,0.00035264
210,1631.41,0.51101,0.33697,1.85526,0.94483,1,0.98083,0.95399,0.35833,0.30224,1.63712,0.00034472,0.00034472,0.00034472
211,1640.57,0.50728,0.3425,1.86464,0.95458,1,0.98083,0.95179,0.34339,0.27711,1.67521,0.0003368,0.0003368,0.0003368
212,1648.59,0.49987,0.34819,1.88798,0.95518,1,0.98417,0.94574,0.33418,0.26146,1.72504,0.00032888,0.00032888,0.00032888
213,1656.2,0.53224,0.35784,1.962,0.95518,1,0.98417,0.95411,0.34391,0.2656,1.69532,0.00032096,0.00032096,0.00032096
214,1664.45,0.58865,0.36968,1.91989,0.95539,1,0.98417,0.93914,0.36184,0.27893,1.67656,0.00031304,0.00031304,0.00031304
215,1674.24,0.53475,0.3416,1.91335,0.95531,1,0.98417,0.94768,0.34923,0.28018,1.6822,0.00030512,0.00030512,0.00030512
216,1683.29,0.51314,0.32869,1.87313,0.95555,1,0.98625,0.95292,0.34714,0.26981,1.68386,0.0002972,0.0002972,0.0002972
217,1691.07,0.56834,0.35901,1.987,0.95522,1,0.98958,0.95644,0.35313,0.26066,1.68691,0.00028928,0.00028928,0.00028928
218,1698.84,0.58769,0.37584,2.02458,0.95256,1,0.98958,0.96113,0.34487,0.26114,1.74661,0.00028136,0.00028136,0.00028136
219,1708.32,0.51334,0.34159,1.95547,0.948,1,0.98958,0.96357,0.34161,0.27868,1.7382,0.00027344,0.00027344,0.00027344
220,1717.93,0.50942,0.32797,1.9076,0.91957,1,0.98958,0.94873,0.34151,0.29139,1.67023,0.00026552,0.00026552,0.00026552
221,1728.54,0.57335,0.3533,1.91147,0.9176,1,0.98789,0.94741,0.35415,0.30648,1.64934,0.0002576,0.0002576,0.0002576
222,1739.09,0.52193,0.34031,1.90793,0.91743,1,0.9827,0.94264,0.33612,0.302,1.66282,0.00024968,0.00024968,0.00024968
223,1749.8,0.53009,0.35164,1.89009,0.91731,1,0.9827,0.94364,0.31682,0.2878,1.71731,0.00024176,0.00024176,0.00024176
224,1760.4,0.47781,0.32363,1.91978,0.91709,1,0.9846,0.95598,0.31346,0.27964,1.72894,0.00023384,0.00023384,0.00023384
225,1770.9,0.53504,0.35878,1.91958,0.91677,1,0.9846,0.96184,0.31665,0.27898,1.7145,0.00022592,0.00022592,0.00022592
226,1781.35,0.58251,0.37148,2.00854,0.9162,1,0.98633,0.96323,0.32297,0.28295,1.72009,0.000218,0.000218,0.000218
227,1792.43,0.48264,0.32876,1.88185,0.91636,1,0.98633,0.95719,0.31449,0.27855,1.74657,0.00021008,0.00021008,0.00021008
228,1803.05,0.47849,0.33124,1.91111,0.92453,1,0.98958,0.9631,0.29831,0.2722,1.78083,0.00020216,0.00020216,0.00020216
229,1813.05,0.49185,0.33271,1.89648,0.94077,1,0.98958,0.9666,0.29476,0.26788,1.77176,0.00019424,0.00019424,0.00019424
230,1823.49,0.51806,0.35581,1.92044,0.94305,1,0.98792,0.96828,0.29501,0.26786,1.74259,0.00018632,0.00018632,0.00018632
231,1834.18,0.47035,0.32822,1.91322,0.94958,1,0.98958,0.96292,0.2984,0.26275,1.72874,0.0001784,0.0001784,0.0001784
232,1844.98,0.46984,0.3061,1.88527,0.95375,1,0.99167,0.96193,0.31775,0.26738,1.71194,0.00017048,0.00017048,0.00017048
233,1853.19,0.51937,0.34273,1.93915,0.95452,1,0.98958,0.9598,0.332,0.26792,1.68366,0.00016256,0.00016256,0.00016256
234,1860.33,0.51447,0.33352,1.91633,0.95532,1,0.98958,0.95821,0.34047,0.25877,1.66686,0.00015464,0.00015464,0.00015464
235,1868.05,0.48854,0.32149,1.9061,0.95538,1,0.99167,0.95909,0.33952,0.25374,1.65574,0.00014672,0.00014672,0.00014672
236,1875.79,0.47711,0.31993,1.94401,0.95536,1,0.99167,0.96489,0.335,0.25813,1.65176,0.0001388,0.0001388,0.0001388
237,1883.16,0.47787,0.32096,1.80853,0.95533,1,0.98958,0.95796,0.32908,0.25828,1.6526,0.00013088,0.00013088,0.00013088
238,1890.14,0.51572,0.31997,1.98046,0.95483,1,0.98625,0.95467,0.33218,0.25934,1.65601,0.00012296,0.00012296,0.00012296
239,1896.61,0.51188,0.34686,1.88289,0.95398,1,0.98625,0.95487,0.3345,0.27111,1.66461,0.00011504,0.00011504,0.00011504
240,1903.48,0.51251,0.33806,1.90907,0.95296,1,0.98625,0.9547,0.33417,0.27608,1.67328,0.00010712,0.00010712,0.00010712
241,1944.42,0.30968,0.23929,1.73484,0.94451,1,0.97875,0.94997,0.33449,0.29294,1.6805,9.92e-05,9.92e-05,9.92e-05
242,1951.38,0.30012,0.24845,1.76421,0.91708,1,0.97269,0.94096,0.32534,0.30345,1.68521,9.128e-05,9.128e-05,9.128e-05
243,1958.37,0.27915,0.23076,1.75943,0.91708,1,0.9684,0.93967,0.3174,0.31877,1.6884,8.336e-05,8.336e-05,8.336e-05
244,1965.25,0.28429,0.24061,1.71617,0.91725,1,0.9684,0.93951,0.32023,0.31648,1.69649,7.544e-05,7.544e-05,7.544e-05
245,1972.29,0.27454,0.21989,1.73378,0.91729,1,0.9684,0.93979,0.31978,0.31189,1.694,6.752e-05,6.752e-05,6.752e-05
246,1978.9,0.26983,0.21986,1.73449,0.91739,1,0.97451,0.94191,0.32859,0.30788,1.68928,5.96e-05,5.96e-05,5.96e-05
247,1985.86,0.27174,0.21039,1.71969,0.91899,1,0.97875,0.95422,0.33175,0.30404,1.68248,5.168e-05,5.168e-05,5.168e-05
248,1992.81,0.27063,0.21746,1.67088,0.91992,1,0.97875,0.95422,0.3285,0.3011,1.67797,4.376e-05,4.376e-05,4.376e-05
249,1999.67,0.25758,0.20882,1.73273,0.93835,1,0.97875,0.95452,0.33014,0.29804,1.6756,3.584e-05,3.584e-05,3.584e-05
250,2006.48,0.28159,0.22075,1.73144,0.9436,1,0.9825,0.95848,0.33162,0.2944,1.67058,2.792e-05,2.792e-05,2.792e-05
