epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,350.452,0.7672,0.48496,2.10003,0.95377,0.95652,0.94962,0.83679,0.55754,0.45279,2.23693,0.00167528,0.00167528,0.00167528
43,357.919,0.81781,0.53363,2.22779,0.95304,0.95652,0.9712,0.86064,0.55767,0.42985,2.22871,0.00166736,0.00166736,0.00166736
44,365.791,0.76578,0.52319,2.22007,0.95094,0.95652,0.9632,0.87397,0.51612,0.45013,2.09463,0.00165944,0.00165944,0.00165944
45,374.208,0.70789,0.48082,2.13277,0.95119,0.95652,0.95195,0.82935,0.55476,0.44614,1.99931,0.00165152,0.00165152,0.00165152
46,382.671,0.832,0.52852,2.26585,0.93603,0.91304,0.95284,0.83286,0.5565,0.5413,2.11798,0.0016436,0.0016436,0.0016436
47,390.399,0.75822,0.4943,2.20371,0.91515,0.95652,0.95269,0.81405,0.61279,0.51332,2.11682,0.00163568,0.00163568,0.00163568
48,398.573,0.79093,0.50362,2.19348,0.8953,0.91304,0.95142,0.87513,0.50838,0.47763,2.03475,0.00162776,0.00162776,0.00162776
49,406.674,0.77427,0.5042,2.18375,0.87921,0.94967,0.96905,0.86997,0.47063,0.42044,2.08096,0.00161984,0.00161984,0.00161984
50,414.946,0.79573,0.49939,2.17786,0.89826,0.86957,0.93253,0.81525,0.55481,0.47921,2.18187,0.00161192,0.00161192,0.00161192
51,422.987,0.78098,0.51352,2.20303,0.8208,0.99589,0.96652,0.84947,0.56622,0.46665,2.32349,0.001604,0.001604,0.001604
52,430.973,0.70108,0.48692,2.16775,0.87404,0.95652,0.97374,0.85142,0.54461,0.46355,2.13009,0.00159608,0.00159608,0.00159608
53,439.043,0.82161,0.49248,2.24174,0.89201,0.91304,0.95844,0.81226,0.59187,0.47507,2.06425,0.00158816,0.00158816,0.00158816
54,447.266,0.72539,0.46164,2.18297,0.8539,0.91304,0.95941,0.84349,0.55581,0.52145,2.06231,0.00158024,0.00158024,0.00158024
55,455.312,0.80145,0.49067,2.17794,0.86562,0.91304,0.94649,0.81488,0.65099,0.61057,2.01703,0.00157232,0.00157232,0.00157232
56,463.52,0.83294,0.47703,2.22101,0.8974,0.91304,0.93329,0.83564,0.56324,0.55616,2.06355,0.0015644,0.0015644,0.0015644
57,471.537,0.78489,0.5156,2.13403,0.9154,0.94133,0.94119,0.79896,0.59454,0.49789,2.0276,0.00155648,0.00155648,0.00155648
58,479.24,0.74662,0.47656,2.14741,0.91536,0.94082,0.92383,0.81506,0.48991,0.50124,1.92306,0.00154856,0.00154856,0.00154856
59,487.155,0.80211,0.50781,2.17351,0.87343,0.95652,0.93065,0.84083,0.54528,0.56633,1.92742,0.00154064,0.00154064,0.00154064
60,495.145,0.75477,0.48994,2.15572,0.90605,0.91304,0.95543,0.83797,0.57784,0.48748,2.03346,0.00153272,0.00153272,0.00153272
61,503.059,0.74376,0.45756,2.17152,0.91001,0.95652,0.94727,0.85319,0.55687,0.41259,2.03324,0.0015248,0.0015248,0.0015248
62,511.041,0.75689,0.47312,2.23679,0.91898,0.9867,0.9846,0.84925,0.521,0.37453,1.92781,0.00151688,0.00151688,0.00151688
63,519.141,0.76139,0.49021,2.13077,0.95622,0.94981,0.98342,0.85325,0.52414,0.38968,1.98058,0.00150896,0.00150896,0.00150896
64,526.859,0.76425,0.49907,2.19231,0.987,0.91304,0.95427,0.84375,0.57096,0.37899,1.97691,0.00150104,0.00150104,0.00150104
65,534.567,0.71577,0.43908,2.1141,0.99177,0.91304,0.95677,0.85156,0.55146,0.37119,1.95511,0.00149312,0.00149312,0.00149312
66,542.153,0.68988,0.4592,2.08144,0.99489,0.95652,0.9918,0.86841,0.50539,0.32484,2.13458,0.0014852,0.0014852,0.0014852
67,549.425,0.78322,0.45884,2.21637,0.91974,0.99666,0.99006,0.89067,0.50098,0.34525,2.05698,0.00147728,0.00147728,0.00147728
68,556.981,0.68799,0.43836,2.13635,0.91793,1,0.9749,0.8747,0.48443,0.35389,1.96072,0.00146936,0.00146936,0.00146936
69,564.411,0.71486,0.4879,2.08528,0.91744,1,0.971,0.88862,0.47069,0.33001,2.00187,0.00146144,0.00146144,0.00146144
70,572.254,0.73148,0.45025,2.15463,0.91678,1,0.9918,0.89838,0.54414,0.35602,1.92265,0.00145352,0.00145352,0.00145352
71,579.743,0.72475,0.43779,2.12846,0.99232,1,0.995,0.91839,0.49789,0.33508,1.91309,0.0014456,0.0014456,0.0014456
72,587.726,0.69801,0.44066,2.09134,0.97017,1,0.995,0.89546,0.5335,0.34391,1.95223,0.00143768,0.00143768,0.00143768
73,595.658,0.70488,0.46915,2.16018,0.9983,1,0.995,0.88922,0.5493,0.35444,1.9379,0.00142976,0.00142976,0.00142976
74,603.413,0.67369,0.44738,2.10494,1,0.98803,0.995,0.8964,0.47546,0.29923,1.94231,0.00142184,0.00142184,0.00142184
75,611.209,0.73317,0.50345,2.14534,0.95781,0.98753,0.97542,0.88595,0.44747,0.32736,1.96034,0.00141392,0.00141392,0.00141392
76,618.568,0.7364,0.46588,2.2355,0.95626,1,0.97167,0.8911,0.46899,0.32597,1.86326,0.001406,0.001406,0.001406
77,626.234,0.71832,0.4615,2.17913,0.95607,0.94669,0.97264,0.87526,0.48284,0.36531,1.88715,0.00139808,0.00139808,0.00139808
78,633.533,0.73344,0.45291,2.17665,0.95586,0.94205,0.95365,0.86311,0.49013,0.40658,1.94002,0.00139016,0.00139016,0.00139016
79,641.318,0.70582,0.46112,2.19291,0.95601,0.94516,0.95762,0.86945,0.49781,0.37453,1.95947,0.00138224,0.00138224,0.00138224
80,648.775,0.71499,0.45196,2.09984,0.91171,0.95652,0.96499,0.8646,0.48929,0.37997,1.85719,0.00137432,0.00137432,0.00137432
81,656.108,0.7457,0.48173,2.17411,0.91415,0.95652,0.97653,0.89715,0.49235,0.38778,1.90824,0.0013664,0.0013664,0.0013664
82,663.477,0.73623,0.49264,2.13477,0.95363,0.91304,0.98042,0.88078,0.50275,0.37234,2.01477,0.00135848,0.00135848,0.00135848
83,671.181,0.7178,0.467,2.16664,0.95339,0.95652,0.98865,0.87284,0.51453,0.33945,1.86831,0.00135056,0.00135056,0.00135056
84,678.743,0.76839,0.48794,2.15881,0.95539,0.93152,0.98032,0.8958,0.47912,0.38819,1.85147,0.00134264,0.00134264,0.00134264
85,686.637,0.6972,0.43792,2.21725,0.95524,0.95652,0.98107,0.89593,0.44942,0.36166,1.94659,0.00133472,0.00133472,0.00133472
86,694.462,0.68004,0.46199,2.06512,0.95619,0.9493,0.97734,0.90049,0.44967,0.32395,1.89552,0.0013268,0.0013268,0.0013268
87,702.108,0.64663,0.41232,2.119,0.88451,0.999,0.96705,0.87448,0.51581,0.35724,1.84436,0.00131888,0.00131888,0.00131888
88,709.556,0.70172,0.42531,2.11909,0.95615,0.94832,0.97099,0.84926,0.54214,0.41736,1.98482,0.00131096,0.00131096,0.00131096
89,717.46,0.7027,0.43966,2.07529,0.91442,0.95652,0.95024,0.8719,0.50903,0.45896,1.92566,0.00130304,0.00130304,0.00130304
90,725.245,0.69262,0.44511,2.09625,0.91635,0.95278,0.95202,0.86329,0.53999,0.49082,2.01171,0.00129512,0.00129512,0.00129512
91,733.004,0.73644,0.43313,2.12741,0.90026,0.91304,0.90569,0.82156,0.54871,0.48952,1.94553,0.0012872,0.0012872,0.0012872
92,740.69,0.73262,0.43469,2.059,0.83986,0.95652,0.93624,0.86931,0.49738,0.45323,1.87525,0.00127928,0.00127928,0.00127928
93,748.131,0.73175,0.46563,2.17165,0.8793,0.95046,0.95821,0.8539,0.49961,0.45632,1.95495,0.00127136,0.00127136,0.00127136
94,755.313,0.72786,0.46104,2.08743,0.88259,1,0.96455,0.8819,0.45477,0.38194,2.0123,0.00126344,0.00126344,0.00126344
95,762.908,0.66152,0.4372,2.02956,0.88094,1,0.96226,0.88103,0.4955,0.36558,2.09226,0.00125552,0.00125552,0.00125552
96,770.693,0.6999,0.45885,2.1846,0.91636,1,0.9846,0.89873,0.45181,0.34368,1.88599,0.0012476,0.0012476,0.0012476
97,778.304,0.68367,0.45008,2.09832,0.91965,0.9955,0.9886,0.89851,0.45459,0.31973,1.8755,0.00123968,0.00123968,0.00123968
98,786.275,0.71281,0.4497,2.06831,0.97814,0.91304,0.98577,0.89106,0.49096,0.34128,1.97732,0.00123176,0.00123176,0.00123176
99,794.032,0.71651,0.44259,2.00666,0.91556,1,0.99006,0.91124,0.45593,0.32778,1.88207,0.00122384,0.00122384,0.00122384
100,801.505,0.70897,0.49129,2.15064,0.98873,1,0.995,0.89539,0.44479,0.30797,1.89337,0.00121592,0.00121592,0.00121592
101,809.02,0.72612,0.45237,2.06087,1,0.98424,0.995,0.91402,0.44579,0.29014,1.99972,0.001208,0.001208,0.001208
102,816.795,0.6767,0.42991,2.09569,0.99812,1,0.995,0.90163,0.45761,0.28958,2.16576,0.00120008,0.00120008,0.00120008
103,824.465,0.66655,0.40351,2.13871,0.94909,1,0.99333,0.90065,0.48892,0.31304,1.8715,0.00119216,0.00119216,0.00119216
104,832.306,0.67657,0.46595,2.04001,0.95581,1,0.99167,0.9108,0.47281,0.28791,1.87121,0.00118424,0.00118424,0.00118424
105,839.763,0.62963,0.41836,2.04329,0.95611,1,0.98083,0.9083,0.47787,0.28817,1.79704,0.00117632,0.00117632,0.00117632
106,846.977,0.74331,0.45345,2.08531,0.95708,1,0.98417,0.91669,0.44289,0.3106,1.82386,0.0011684,0.0011684,0.0011684
107,854.542,0.66613,0.44905,2.19263,0.95678,1,0.99167,0.91943,0.44897,0.33868,1.81014,0.00116048,0.00116048,0.00116048
108,862.566,0.66729,0.41203,2.0467,0.91951,1,0.98451,0.89838,0.44669,0.3452,1.83724,0.00115256,0.00115256,0.00115256
